Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
I need a website or 2 fully optimised will organise own hosting,Technology & Programming,Entry ($),eCommerce CMS Development,GBP,125.0,remote,ALL,fixed_price,2023-01-26 16:48:09,"Website required for firework retail business part of an event decor company. 1 or 2 sites linked.

Include SEO services but NOT hosting.

Possibility to add on e-commerce capability ",,2022-03-06,Wandsworth,United Kingdom,GBP,
"Eagle-Eyed Proofreader for British Crime Novel - 56,000 words",Writing & Translation,Expert ($$$),Proofreading,GBP,100.0,remote_country,GB,fixed_price,2023-01-26 16:44:20,"I am looking for an Eagle-eyed proofreader.
Someone with experience of UK-based crime novels.
The manuscript is 56,000 words (approx). Based on the Chicago Manual of Writing Style.

This is a simple proofreading project. 
Checking correct spelling and capital letter use. i.e., Tindal's Convenience Store, or Tindal's convenience store. 
Correct use of commas, dashes, dialogue quotes and financial amounts. i.e. Is it thirty-five thousand pounds, or £35,000?

No need to re-write anything, other than common mistakes and misspelt words.
Document supplied in Microsoft Word. ",less than 1 week,2023-01-26,London,United Kingdom,USD,
British English Male and Female voice over artists required,Music & Audio,Entry ($),Voice-Over,USD,29.0,remote,ALL,hourly,2023-01-26 16:44:07,"Hi,
We have some running commentary contents to be recorded very good tempo and high pitch.

Voice over is about 100 words each for male and for female.

Please write only if you have done such jobs in the past and have the necessary voice skills.

Thank you.",,2011-12-13,Mumbai,India,USD,Consultant
Node.js install with XAMPP,Technology & Programming,Entry ($),Website Development,USD,100.0,remote,ALL,fixed_price,2023-01-26 16:30:51,We have an existing apache site used for an intranet running with XAMPP.  We need to add node.js for the backend of an app and I need someone urgently to connect and set this up so it will work properly.,,2016-10-16,Perth,United Kingdom,GBP,
Business Consultant in Moscow,Business,Expert ($$$),Consulting,GBP,41.0,remote,ALL,hourly,2023-01-26 16:24:17,"Looking to speak with someone based in Moscow, Russia who can assist us with business consultancy for our start up company. ",,2022-12-05,Ardrossan,United Kingdom,GBP,
Prestashop specialist required to solve SEO issues. ,Technology & Programming,Expert ($$$),Website Development,USD,400.0,remote,ALL,fixed_price,2023-01-26 16:24:17,"Prestashop specialist required to solve SEO issues. 
Issues are onpage related to : -- Href / Canonical / Follow/Nofollow / Links
The site has been audited using sitechecker and there are many errors on the website related to Hreflang, probably related to the language setting on prestashop. 
We are looking for prestashop to resolve. these issues related Href / Canonical / Follow/Nofollow / Links to improve SEO. ",,2014-05-20,Manchester,United Kingdom,GBP,
Wix Website,Technology & Programming,Intermediate ($$),Website Development,GBP,248.0,remote,ALL,fixed_price,2023-01-26 16:24:17,"I need a Wix website specialist to make some changes to an existing site. Nothing too much, some different pictures, text and adding some videos for my website www.theormond.co.uk",,2022-06-17,Chippenham,United Kingdom,GBP,
WPGeodirectory Listing Page Redesign,Technology & Programming,Entry ($),Website Development,GBP,50.0,remote,ALL,fixed_price,2023-01-26 16:02:38,"We are looking for a freelancer with some experience of wpgeodirectory. 
We need a new layout design for an existing listing page on the directory. 
We have a licensed version of wpGeodirectory with all the extensions and Elementor Pro on the Wordpress website containing the directory. 

Full details will be sent on receipt of suitable proposals.",,2020-02-13,Dublin,Ireland,EUR,Website Development
Mobile App Development,Technology & Programming,Expert ($$$),Mobile App Development,GBP,400.0,remote,ALL,fixed_price,2023-01-26 15:44:29,"Our Company is seeking a  Freelance Mobile App Developer with years of experience as an iOS/Android mobile app developer. He/She will be focused on developing and delivering a financial product that is centered around a great customer experience. The Mobile App Developer will be responsible for 
-the development and  testing of the new customer-facing mobile application. 
-developing application programming interfaces (APIs) to support mobile functionality
-Write unit, UI tests and automated testing to identify malfunctions
-Remain up to date with the terminology, concepts, and best practices for coding mobile apps
-Ensure the technical feasibility of UI/UX designs
- Optimize application for maximum speed and scalability

The developer must be very comfortable with Flutter/React Native, and must be able to work with speed.",,2018-10-15,Beckton,United Kingdom,GBP,
Convert from Evernote files to create a branded word doc file,Business,Expert ($$$),Administration Assistance,USD,25.0,remote,ALL,hourly,2023-01-26 15:44:29,"NOTE: PLEASE PLEASE PLEASE CONFIRM YOU USE EVERNOTE BEFORE APPLYING

I'm currently writing a training playbook in Evernote. Once I have completed all the work I need someone who has Evernote access and is familiar with that application to take the information that's written across some 50 notes and turn into a branded word document that will be the final playbook. I find it easy to work in Evernote but sadly Evernote only exports as a .pdf file. 

Therefore I need someone who can access Evernote to be able to copy, paste and layout the training into a training document. Evernote easily stores images, links and files. So these will also need to be carried across. ",,2013-03-17,Southampton,United Kingdom,GBP,"Director, Fudami Ltd"
Thumbnails need to be enlarged,"Video, Photo & Image",Entry ($),Image Editing,GBP,60.0,remote,ALL,fixed_price,2023-01-26 15:37:45,"We have 11 small square thumbnails within one image, that need to be enlarged into 500pixels square.

The thumbnails are a colour palette of metal finishes.

",,2015-06-16,Chorley,United Kingdom,GBP,
Graphics for website,Design,Expert ($$$),Graphic Design,GBP,17.0,remote,ALL,hourly,2023-01-26 15:40:36,"I need a designer who can adhere to brand guidelines and bring stories to life through graphics, can draw in 2D and 3D. Someone who can animate is also desirable. ",,2023-01-18,Hove,United Kingdom,GBP,
TF | Stored procedure (MySQL): analysis and optimization,Technology & Programming,Expert ($$$),Databases,EUR,38.0,remote,ALL,hourly,2023-01-26 15:37:45,"Experience Level: Expert
starting from a MySQL database I need to:
- make the stored procedures currently implemented more efficient
- have an index analysis to be created to make the data extraction faster",,2020-04-16,Milano,Italy,EUR,CEO
Graphic design for professional stationery for a dental practice,Design,Entry ($),Cards & Stationery,GBP,45.0,remote,ALL,fixed_price,2023-01-26 15:08:45,"Design a set of stationery for a dental practice.
This would comprise of a 
Folder (document wallet) made of stiff paper or light cardboard with a small envelope flap to put A4 documents inside

Letterhead for A4 documents

Business cards for our Treatment Coordinator
Digital and printed

Compliments slip
To write notes on

Digital template for letterhead that we can populate ourselves to write any information 

We already have a logo which I can provide.
I want the overall look to be smart, professional, sleek but also aesthetic. 
Our colour palette is anthracite grey and other neutrals, favouring clay or putty colour. We can use gold as an accent colour.

The logo may be made into a round badge style shape.

We would also like a design for  transfer sticker to put onto a gift bag. This would have the logo and similar colour scheme.",,2023-01-22,Bradford,United Kingdom,GBP,
Help our team fix an issue with AWS,Technology & Programming,Entry ($),Website Development,USD,50.0,remote,ALL,fixed_price,2023-01-26 21:01:11,"Our current project has some issues with Amazon Web Service and the backend code.
We are looking for someone who knows the ins-and-outs of AWS to work with our developer for a couple of hours.

Please only reply if you know AWS.

To make sure the job description was read, please start your reply with ""Tomatoes"". ",,2021-10-23,Daly City,United States,USD,Photographer
